link|timestamps|res|fps|abr|comments
https://www.youtube.com/watch?v=q8ZisDHg6v0|nocuts|144|30|50|the last of the mohicans (the end)
https://www.youtube.com/watch?v=tlgz71v1oIk|[04:31,08:05]|144|30|50|man on fire (the end)
https://www.youtube.com/watch?v=_bgZ-24Tx_4|[00:22,02:24]|144|30|50|django unchained (the escape scene)
https://www.youtube.com/watch?v=042UxUQww2I|[02:08,02:38]|144|30|50|snow falling on cedars (tarawa scene)
https://www.youtube.com/watch?v=ojMr_543ucg|[04:30,05:18]|144|30|50|the last train to yuma (the end)
https://www.youtube.com/watch?v=3h8FG3XsfPY|[00:00,05:00]|144|30|50|The crossing guard (intro)
