link|timestamps|res|fps|abr
https://www.youtube.com/watch?v=OQfusjHRO4s|[[00:39,01:24]]|144|30|50
https://www.youtube.com/watch?v=Ce_BXD_ONQ8|[[00:00,01:38]]|144|30|50
